SKU,Name,Categories,Regular price,Sale price,Images,Short description,Description,In stock?,Published
TT68359,Bàn sofa Oval 100x50x45cm mặt ceramic,Phòng Khách > Bàn Sofa,2950000,,"/images/products/TT68359-1.jpg, /images/products/TT68359-2.jpg, /images/products/TT68359-3.jpg, /images/products/TT68359-4.jpg, /images/products/TT68359-5.jpg, /images/products/TT68359-6.jpg","Bàn thiết kế chắc chắn, tối ưu không gian sử dụng.","Bàn sofa Oval 100x50x45cm mặt ceramic là lựa chọn lý tưởng cho không gian làm việc và sinh hoạt hiện đại, kết hợp giữa tính thẩm mỹ và công năng sử dụng thực tế.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Chất liệu cao cấp, chọn lọc kỹ càng đảm bảo độ bền và tính thẩm mỹ
• Kích thước: 100x50x45cm
• Mã sản phẩm: TT68359
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Mặt bàn rộng rãi, đủ không gian đặt máy tính, tài liệu và vật dụng cá nhân
• Khung/chân bàn chắc chắn, chịu lực tốt, hạn chế rung lắc khi sử dụng
• Thiết kế tối giản, dễ phối hợp với nhiều phong cách nội thất khác nhau
• Dễ dàng lắp ráp và vệ sinh, bảo trì trong quá trình sử dụng lâu dài

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng khách, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
TDBN001,Tủ để bình nước di động 40x40x85cm gỗ cao su,Phụ Kiện > Chân Bàn Sắt,1840000,,/images/products/TDBN001-1.jpg,"Phụ kiện tiện dụng, hỗ trợ không gian làm việc gọn gàng.","Tủ để bình nước di động 40x40x85cm gỗ cao su là phụ kiện hỗ trợ đắc lực, giúp không gian làm việc/sinh hoạt gọn gàng và tiện dụng hơn.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Kích thước: 40x40x85cm
• Mã sản phẩm: TDBN001
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Thiết kế nhỏ gọn, dễ dàng lắp đặt vào hệ bàn/ghế hiện có
• Chất liệu bền bỉ, chịu lực và chịu nhiệt tốt trong quá trình sử dụng
• Giúp không gian làm việc gọn gàng, khoa học hơn
• Tương thích với nhiều mẫu bàn/ghế khác nhau

PHÙ HỢP KHÔNG GIAN
• Phù hợp sử dụng kèm nhiều mẫu bàn/ghế văn phòng, gia đình khác nhau, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
GD68115,Bàn làm việc 140x70cm gỗ tràm chân chữ X đôi,Phòng Làm Việc > Bàn Làm Việc,2540000,,"/images/products/GD68115-1.jpg, /images/products/GD68115-2.jpg, /images/products/GD68115-3.jpg, /images/products/GD68115-4.jpg, /images/products/GD68115-5.jpg","Bàn thiết kế chắc chắn, tối ưu không gian sử dụng.","Bàn làm việc 140x70cm gỗ tràm chân chữ X đôi là lựa chọn lý tưởng cho không gian làm việc và sinh hoạt hiện đại, kết hợp giữa tính thẩm mỹ và công năng sử dụng thực tế.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ tràm tự nhiên, vân gỗ mộc mạc, chắc chắn
• Kích thước: 140x70cm
• Mã sản phẩm: GD68115
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Mặt bàn rộng rãi, đủ không gian đặt máy tính, tài liệu và vật dụng cá nhân
• Khung/chân bàn chắc chắn, chịu lực tốt, hạn chế rung lắc khi sử dụng
• Thiết kế tối giản, dễ phối hợp với nhiều phong cách nội thất khác nhau
• Dễ dàng lắp ráp và vệ sinh, bảo trì trong quá trình sử dụng lâu dài

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng làm việc, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
HBXC060,Bàn làm việc có hộp điện 140x70cm gỗ cao su hệ XConcept,Nội thất văn phòng > Bàn Văn Phòng > Bàn Nhân Viên,2800000,,/images/products/HBXC060-1.jpg,"Bàn thiết kế chắc chắn, tối ưu không gian sử dụng.","Bàn làm việc có hộp điện 140x70cm gỗ cao su hệ XConcept là lựa chọn lý tưởng cho không gian làm việc và sinh hoạt hiện đại, kết hợp giữa tính thẩm mỹ và công năng sử dụng thực tế.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Kích thước: 140x70cm
• Mã sản phẩm: HBXC060
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Mặt bàn rộng rãi, đủ không gian đặt máy tính, tài liệu và vật dụng cá nhân
• Khung/chân bàn chắc chắn, chịu lực tốt, hạn chế rung lắc khi sử dụng
• Thiết kế tối giản, dễ phối hợp với nhiều phong cách nội thất khác nhau
• Dễ dàng lắp ráp và vệ sinh, bảo trì trong quá trình sử dụng lâu dài

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian nội thất văn phòng, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
ZD032,Bàn làm việc có hộp điện 160x70cm gỗ cao su hệ XConcept,Nội thất văn phòng > Bàn Văn Phòng > Bàn Nhân Viên,3050000,,"/images/products/ZD032-1.jpg, /images/products/ZD032-2.jpg, /images/products/ZD032-3.jpg, /images/products/ZD032-4.jpg, /images/products/ZD032-5.jpg, /images/products/ZD032-6.jpg","Bàn thiết kế chắc chắn, tối ưu không gian sử dụng.","Bàn làm việc có hộp điện 160x70cm gỗ cao su hệ XConcept là lựa chọn lý tưởng cho không gian làm việc và sinh hoạt hiện đại, kết hợp giữa tính thẩm mỹ và công năng sử dụng thực tế.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Kích thước: 160x70cm
• Mã sản phẩm: ZD032
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Mặt bàn rộng rãi, đủ không gian đặt máy tính, tài liệu và vật dụng cá nhân
• Khung/chân bàn chắc chắn, chịu lực tốt, hạn chế rung lắc khi sử dụng
• Thiết kế tối giản, dễ phối hợp với nhiều phong cách nội thất khác nhau
• Dễ dàng lắp ráp và vệ sinh, bảo trì trong quá trình sử dụng lâu dài

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian nội thất văn phòng, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
DD68015,Bàn vẽ kỹ thuật 120x85cm gỗ cao su,Phòng Làm Việc > Bàn Làm Việc,4500000,,/images/products/DD68015-1.jpg,"Bàn thiết kế chắc chắn, tối ưu không gian sử dụng.","Bàn vẽ kỹ thuật 120x85cm gỗ cao su là lựa chọn lý tưởng cho không gian làm việc và sinh hoạt hiện đại, kết hợp giữa tính thẩm mỹ và công năng sử dụng thực tế.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Kích thước: 120x85cm
• Mã sản phẩm: DD68015
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Mặt bàn rộng rãi, đủ không gian đặt máy tính, tài liệu và vật dụng cá nhân
• Khung/chân bàn chắc chắn, chịu lực tốt, hạn chế rung lắc khi sử dụng
• Thiết kế tối giản, dễ phối hợp với nhiều phong cách nội thất khác nhau
• Dễ dàng lắp ráp và vệ sinh, bảo trì trong quá trình sử dụng lâu dài

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng làm việc, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
GMA010,Ghế làm việc tiêu chuẩn Công Thái Học,Phòng Làm Việc > Ghế Công Thái Học,2990000,,"/images/products/GMA010-1.jpg, /images/products/GMA010-2.jpg, /images/products/GMA010-3.jpg, /images/products/GMA010-4.jpg, /images/products/GMA010-5.jpg, /images/products/GMA010-6.jpg","Ghế công thái học, êm ái và bền bỉ.","Ghế làm việc tiêu chuẩn Công Thái Học mang đến trải nghiệm ngồi thoải mái, hỗ trợ tư thế đúng chuẩn cho thời gian sử dụng dài mà không gây mỏi mệt.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Chất liệu cao cấp, chọn lọc kỹ càng đảm bảo độ bền và tính thẩm mỹ
• Mã sản phẩm: GMA010
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Thiết kế công thái học, nâng đỡ tốt cho vùng lưng và cổ
• Khung ghế chắc chắn, chịu tải trọng tốt, đảm bảo an toàn khi sử dụng
• Đệm ngồi êm ái, thoáng khí, phù hợp ngồi làm việc/sinh hoạt trong thời gian dài
• Kiểu dáng hiện đại, dễ dàng kết hợp với nhiều không gian nội thất

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng làm việc, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
KGT68052,Kệ góc tường 35x35x205cm gỗ cao su,Phòng Khách > Kệ Trang Trí,2990000,,/images/products/KGT68052-1.jpg,"Kệ đa năng, tối ưu không gian trưng bày và lưu trữ.","Kệ góc tường 35x35x205cm gỗ cao su là giải pháp lưu trữ và trang trí linh hoạt, giúp không gian sống trở nên ngăn nắp và cuốn hút hơn.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Kích thước: 35x35x205cm
• Mã sản phẩm: KGT68052
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Kết cấu vững chắc, chịu tải trọng tốt cho nhiều loại đồ vật
• Thiết kế nhiều tầng linh hoạt, tối ưu không gian lưu trữ và trưng bày
• Kiểu dáng hiện đại, vừa lưu trữ vừa trang trí cho không gian
• Dễ dàng lắp đặt, di chuyển và vệ sinh

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng khách, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
KGT68047,Kệ góc tường cửa kính 40x40x170cm gỗ cao su,Phòng Khách > Kệ Trang Trí,2400000,,/images/products/KGT68047-1.jpg,"Kệ đa năng, tối ưu không gian trưng bày và lưu trữ.","Kệ góc tường cửa kính 40x40x170cm gỗ cao su là giải pháp lưu trữ và trang trí linh hoạt, giúp không gian sống trở nên ngăn nắp và cuốn hút hơn.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh; kính cường lực an toàn, dễ vệ sinh
• Kích thước: 40x40x170cm
• Mã sản phẩm: KGT68047
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Kết cấu vững chắc, chịu tải trọng tốt cho nhiều loại đồ vật
• Thiết kế nhiều tầng linh hoạt, tối ưu không gian lưu trữ và trưng bày
• Kiểu dáng hiện đại, vừa lưu trữ vừa trang trí cho không gian
• Dễ dàng lắp đặt, di chuyển và vệ sinh

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng khách, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
KGT68015,Kệ trang trí góc tường hình quạt 5 tầng,Phòng Khách > Kệ Trang Trí,1350000,,/images/products/KGT68015-1.jpg,"Kệ đa năng, tối ưu không gian trưng bày và lưu trữ.","Kệ trang trí góc tường hình quạt 5 tầng là giải pháp lưu trữ và trang trí linh hoạt, giúp không gian sống trở nên ngăn nắp và cuốn hút hơn.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Chất liệu cao cấp, chọn lọc kỹ càng đảm bảo độ bền và tính thẩm mỹ
• Mã sản phẩm: KGT68015
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Kết cấu vững chắc, chịu tải trọng tốt cho nhiều loại đồ vật
• Thiết kế nhiều tầng linh hoạt, tối ưu không gian lưu trữ và trưng bày
• Kiểu dáng hiện đại, vừa lưu trữ vừa trang trí cho không gian
• Dễ dàng lắp đặt, di chuyển và vệ sinh

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng khách, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
